Geneid	Length	22784	23406	H13	H14	22783	23386	23404	H11	H12	22785
Hol_evm.model.scaffold03974.1	900	0	0	0	0	2	0	0	5	2	1
Hol_evm.model.scaffold03974.2	669	0	0	0	0	3	0	1	4	6	0
Hol_evm.model.scaffold03977.5	270	24	26	13	0	1	0	18	4	1	42
Hol_evm.model.scaffold03977.6	255	24	0	5	2	2	0	3	0	0	27
Hol_evm.model.scaffold03977.3	234	0	1	0	3	0	0	2	13	24	3
Hol_evm.model.scaffold03977.4	193	2	0	0	1	1	0	0	2	0	1
Hol_evm.model.scaffold03977.2	208	0	1	1	1	1	0	0	2	1	0
Hol_evm.model.scaffold03977.1	180	1	0	0	0	1	0	0	9	0	1
Hol_evm.model.scaffold03977.7	204	0	0	0	2	2	0	2	0	0	5
Hol_evm.model.scaffold03978.1	276	0	1	0	0	2	0	0	6	8	1
Hol_evm.model.scaffold03981.1	5592	9	16	3	11	1429	0	47	26	16	15
Hol_evm.model.scaffold03981.2	4626	309	46	530	208	127	0	158	354	222	1565
Hol_evm.model.scaffold03982.1	211	28	1	0	3	2	0	1	4	4	0
Hol_evm.model.scaffold03983.1	254	626	413	601	1050	436	2355	920	2042	2617	923
Hol_evm.model.scaffold03984.1	978	119	84	75	304	21	0	84	265	370	342
Hol_evm.model.scaffold03984.2	579	79	30	20	47	13	0	1	8	20	87
Hol_evm.model.scaffold03985.1	306	2	1	10	1	6	0	9	8	47	76
Hol_evm.model.scaffold03987.1	1355	65	45	53	17	50	0	50	305	46	1426
Hol_evm.model.scaffold03987.2	1104	406	339	654	854	241	0	242	473	177	632
Hol_evm.model.scaffold03987.3	897	7617	2183	12755	8644	717	7825	1177	700	2526	104
Hol_evm.model.scaffold03990.1	1266	0	1	0	5	15	0	6	4	9	41
Hol_evm.model.scaffold03991.1	340	13	2	17	33	16	4	12	65	15	17
Hol_evm.model.scaffold03996.1	231	0	0	0	0	1	0	1	1	0	4
Hol_evm.model.scaffold03997.1	378	0	33	2	5	48	0	6	6	8	3
Hol_evm.model.scaffold03998.1	471	2	5	1	21	18	0	29	53	48	5
Hol_evm.model.scaffold03998.2	597	4	11	3	14	40	0	8	32	53	3
Hol_evm.model.scaffold03998.3	1527	4	8	0	2	9	0	8	34	37	6
Hol_evm.model.scaffold03998.4	993	1	5	0	4	11	0	9	22	22	0
Hol_evm.model.scaffold04000.1	1473	5	5	69	4	3	0	1	14	8	1065
Hol_evm.model.scaffold04001.1	277	0	0	0	0	0	0	0	0	2	1
Hol_evm.model.scaffold04001.2	831	0	0	1	0	4	0	1	10	8	0
Hol_evm.model.scaffold04001.3	3670	7	3	0	9	32	0	4	22	37	18
Hol_evm.model.scaffold04002.1	1366	62	1	4	6	9	0	3	8	30	5
Hol_evm.model.scaffold04004.1	307	43	77	0	5	2	0	14	6	10	32
Hol_evm.model.scaffold04004.2	10182	771	786	580	262	424	0	939	323	769	3129
Hol_evm.model.scaffold04004.3	456	2381	2057	3292	4940	1769	2122	3944	6498	4939	787
Hol_evm.model.scaffold04004.4	1602	38	1	30	2	5	0	8	11	18	0
Hol_evm.model.scaffold04004.5	1236	532	379	448	76	118	974	505	197	627	1636
Hol_evm.model.scaffold04004.6	3135	1966	1875	1725	1335	812	0	1327	609	1440	1244
Hol_evm.model.scaffold04004.7	633	3	14	1	4	5	0	4	7	3	6
Hol_evm.model.scaffold04005.1	502	2	0	0	1	3	0	2	0	3	0
Hol_evm.model.scaffold04007.1	2643	454	209	435	336	245	0	428	981	243	1050
Hol_evm.model.scaffold04007.2	1386	8	6	2	5	22	0	7	31	29	64
Hol_evm.model.scaffold04007.3	540	3	16	0	0	813	0	26	7	4	7
Hol_evm.model.scaffold04007.4	2067	13	3	0	9	96	0	14	27	33	24
Hol_evm.model.scaffold04007.5	1455	148	113	33	39	17	10	109	54	65	102
Hol_evm.model.scaffold04009.1	1521	259	209	655	149	77	0	259	20	258	204
Hol_evm.model.scaffold04009.2	1161	277	210	24	12	105	1	367	27	150	174
Hol_evm.model.scaffold04009.3	735	58	86	42	1	15	0	6	206	2	268
Hol_evm.model.scaffold04011.1	795	1282	458	535	278	387	9443	1350	358	226	1176
Hol_evm.model.scaffold04011.2	1128	370	58	159	186	16	1205	178	6	787	199
Hol_evm.model.scaffold04011.3	345	432	67	399	120	12	0	63	2	1	10
Hol_evm.model.scaffold04011.4	329	106	9	152	53	82	0	242	354	189	11
Hol_evm.model.scaffold04013.1	909	26	11	27	3	48	0	917	118	150	2
Hol_evm.model.scaffold04021.1	630	0	0	2	7	5	0	0	11	19	1
Hol_evm.model.scaffold04021.2	1383	436	377	1346	1164	290	0	694	1578	1631	657
Hol_evm.model.scaffold04021.3	519	342	412	485	366	172	0	366	363	187	13215
Hol_evm.model.scaffold04021.4	537	23	10	20	0	13	0	11	4	7	71
Hol_evm.model.scaffold04021.5	537	4	204	0	0	1798	0	36	1	5	26
Hol_evm.model.scaffold04021.6	475	1	0	3	4	1	0	6	0	0	0
Hol_evm.model.scaffold04022.1	1111	6	6	6	14	30	0	5	38	32	3
Hol_evm.model.scaffold04023.1	1275	299	74	284	112	2	0	77	14	5	13
Hol_evm.model.scaffold04023.2	1260	5	6	17	9	9	0	80	80	27	59
Hol_evm.model.scaffold04023.3	390	26	39	51	3	82	0	5	16	17	40
Hol_evm.model.scaffold04024.1	784	2	3	10	9	13	0	1	9	3	24
Hol_evm.model.scaffold04027.1	1380	3282	581	2814	2451	723	0	1546	281	5139	4105
Hol_evm.model.scaffold04031.1	2367	553	193	470	46	236	0	541	144	81	1607
Hol_evm.model.scaffold04031.2	1542	2	1	0	5	5	1	82	15	21	3
Hol_evm.model.scaffold04031.3	1467	211	153	2	57	107	0	136	2545	13	3
Hol_evm.model.scaffold04031.4	1611	306	120	566	330	1100	13928	10157	4052	5868	64
Hol_evm.model.scaffold04031.5	612	22291	8630	2864	2233	860	602	494	240	858	140
Hol_evm.model.scaffold04031.6	546	148	163	104	91	45	0	111	313	17	347
Hol_evm.model.scaffold04031.7	1722	762	309	364	1143	236	5615	344	359	576	42
Hol_evm.model.scaffold04031.8	2550	715	514	323	312	183	6878	612	62	931	886
Hol_evm.model.scaffold04034.1	267	6	0	0	0	7	0	0	3	2	3
Hol_evm.model.scaffold04034.2	2148	174	89	86	178	31	0	104	43	322	158
Hol_evm.model.scaffold04034.3	1992	6207	2751	8446	9438	1293	342	2673	2385	5832	1677
Hol_evm.model.scaffold04034.4	4500	555	620	559	797	203	0	439	497	560	1327
Hol_evm.model.scaffold04034.5	1410	1101	263	1626	3190	374	0	860	2280	3191	1461
Hol_evm.model.scaffold04034.6	2697	895	576	1256	1881	460	62	1164	1504	2250	1911
Hol_evm.model.scaffold04034.7	552	187	78	120	650	191	0	118	367	385	147
Hol_evm.model.scaffold04034.8	1473	469	168	277	462	134	0	432	382	1091	718
Hol_evm.model.scaffold04034.9	561	225	47	46	280	12	0	222	11	293	391
Hol_evm.model.scaffold04036.1	984	6	3	0	0	6	0	2	16	29	8
Hol_evm.model.scaffold04046.3	372	0	0	0	0	0	0	0	5	1	2
Hol_evm.model.scaffold04046.4	155	0	0	0	0	0	0	0	0	1	0
Hol_evm.model.scaffold04046.1	175	1	0	0	1	1	0	2	5	4	1
Hol_evm.model.scaffold04046.2	219	0	0	0	0	2	0	0	1	0	16
Hol_evm.model.scaffold04047.1	3084	7	5	4	18	65	0	9	39	52	9
Hol_evm.model.scaffold04047.2	525	0	0	0	2	3	0	0	5	3	1
Hol_evm.model.scaffold04047.3	2214	1115	648	794	1223	329	1220	1556	376	2886	3098
Hol_evm.model.scaffold04047.4	897	1557	1438	2122	446	2127	4679	6266	3812	21730	145
Hol_evm.model.scaffold04049.1	235	30	40	51	105	34	0	22	2	0	305
Hol_evm.model.scaffold04050.1	933	151	23	10	5	17	0	2	14	2	1
Hol_evm.model.scaffold04052.1	1041	2415	562	2380	698	906	0	642	795	2685	586
Hol_evm.model.scaffold04052.2	888	5086	751	3483	1014	246	0	672	320	2260	479
Hol_evm.model.scaffold04052.3	447	1348	1349	1151	1702	610	1786	1859	2230	1975	1564
Hol_evm.model.scaffold04052.4	2043	503	279	573	229	101	0	511	62	183	1326
Hol_evm.model.scaffold04052.5	735	44	20	0	2	19	0	39	9	16	0
Hol_evm.model.scaffold04060.1	397	134	68	37	51	43	0	68	10	7	45
Hol_evm.model.scaffold04060.2	2115	1111	1202	768	837	1199	0	1062	710	134	407
Hol_evm.model.scaffold04061.1	687	1	42	22	85	3	0	38	5	1	119
Hol_evm.model.scaffold04066.1	217	246	135	81	110	26	223	117	7	86	198
Hol_evm.model.scaffold04066.2	564	323	164	367	1263	176	0	161	448	708	618
Hol_evm.model.scaffold04066.3	1701	1349	401	398	727	168	0	153	79	156	128
Hol_evm.model.scaffold04066.4	2010	57	3	2	29	268	0	122	38	149	11
Hol_evm.model.scaffold04066.5	2760	3011	1029	713	7694	409	120	602	784	4985	1563
Hol_evm.model.scaffold04066.6	1950	89	28	2	33	51	0	44	97	32	35
Hol_evm.model.scaffold04066.7	1860	577	183	402	137	152	0	200	162	87	1423
Hol_evm.model.scaffold04066.8	1629	411	88	86	785	205	0	208	23	222	310
Hol_evm.model.scaffold04066.9	1428	12	3	0	0	17	1	0	7	8	16141
Hol_evm.model.scaffold04066.10	909	0	1	0	2	4	0	2	2	0	2064
Hol_evm.model.scaffold04066.11	1755	37	71	127	276	18	0	105	1275	57	171
Hol_evm.model.scaffold04067.1	513	2	2	0	2	9	0	0	6	24	1
Hol_evm.model.scaffold04072.1	401	1	1	0	2	0	0	0	4	10	0
Hol_evm.model.scaffold04072.2	585	0	0	0	1	1	0	0	2	8	0
Hol_evm.model.scaffold04072.3	819	0	0	0	0	1	0	0	18	6	0
Hol_evm.model.scaffold04072.4	498	1	0	0	2	0	0	0	20	8	0
Hol_evm.model.scaffold04072.5	963	4	0	0	0	3	0	0	15	5	0
Hol_evm.model.scaffold04080.1	300	0	1	0	0	0	0	5	9	1	0
Hol_evm.model.scaffold04082.1	4068	170	70	143	489	246	0	143	690	837	674
Hol_evm.model.scaffold04082.2	513	44452	26538	10306	18965	3570	7203	11657	6783	21248	1312
Hol_evm.model.scaffold04082.3	2757	835	230	275	583	171	0	479	118	119	2097
Hol_evm.model.scaffold04086.1	1886	32	4	68	2	40	0	16	11	26	349
Hol_evm.model.scaffold04086.2	225	0	27	0	1	33	0	18	3	2	2
Hol_evm.model.scaffold04086.3	4797	391	320	566	472	333	0	441	412	557	1110
Hol_evm.model.scaffold04086.4	921	11	71	16	59	190	0	18	13	11	22
Hol_evm.model.scaffold04086.5	465	0	47	0	56	1330	0	59	12	3	24
Hol_evm.model.scaffold04088.1	317	0	3	3	0	31	0	318	52	117	4
Hol_evm.model.scaffold04089.1	255	63	23	28	39	0	0	190	6	53	62
Hol_evm.model.scaffold04089.2	1224	225	18	136	158	1	0	389	14	18	208
Hol_evm.model.scaffold04090.1	299	1	1	0	4	0	0	0	4	1	0
Hol_evm.model.scaffold04090.2	327	1	0	0	1	1	0	0	0	4	6
Hol_evm.model.scaffold04094.6	163	16	0	0	0	3	0	0	2	1	15
Hol_evm.model.scaffold04094.1	3792	228	55	140	98	70	1	27	13	107	961
Hol_evm.model.scaffold04094.2	1353	1240	192	675	1466	179	0	259	812	1016	1872
Hol_evm.model.scaffold04094.3	726	438	504	682	1156	231	4	705	384	1296	403
Hol_evm.model.scaffold04094.4	738	313	256	556	1387	184	0	368	1373	151	110
Hol_evm.model.scaffold04094.5	627	3	2	0	4	11	0	1	18	20	8
Hol_evm.model.scaffold04098.1	1623	256	269	751	833	441	0	386	1240	602	564
Hol_evm.model.scaffold04101.1	441	1	0	0	0	0	0	1	0	1	24
Hol_evm.model.scaffold04101.2	216	1	0	2	27	15	0	13	33	2	196
Hol_evm.model.scaffold04107.1	445	6	2	0	10	21	0	1	28	29	3
Hol_evm.model.scaffold04109.1	468	0	0	4	0	8	0	1	5	5	5
Hol_evm.model.scaffold04110.1	239	34	49	84	176	20	0	126	62	134	523
Hol_evm.model.scaffold04110.2	879	755	660	371	241	58	240	462	16	500	525
Hol_evm.model.scaffold04110.3	1383	711	600	1041	984	133	0	335	4	545	33
Hol_evm.model.scaffold04110.4	3978	1833	1134	1022	307	863	0	731	191	2970	244
Hol_evm.model.scaffold04112.1	4862	677	441	217	75	279	0	429	57	326	525
Hol_evm.model.scaffold04112.2	462	632	268	203	409	32	285	492	641	440	445
Hol_evm.model.scaffold04112.3	732	1403	755	596	1045	261	0	834	1196	838	2246
Hol_evm.model.scaffold04112.4	726	522	494	766	1116	252	813	579	1356	1340	993
Hol_evm.model.scaffold04112.5	2274	379	277	278	74	161	0	124	197	111	1132
Hol_evm.model.scaffold04112.6	1692	69	9	180	0	39	0	25	6	12	856
Hol_evm.model.scaffold04113.1	1275	77	1	3	2	16	0	92	14	17	31
Hol_evm.model.scaffold04115.1	1218	6	3	0	5	8	0	1	12	2	1
Hol_evm.model.scaffold04116.1	2778	1724	598	2517	1807	341	0	792	709	401	3464
Hol_evm.model.scaffold04116.2	402	140	54	157	90	27	0	77	600	38	2496
Hol_evm.model.scaffold04116.3	1107	1727	275	812	266	101	2607	369	196	1016	24488
Hol_evm.model.scaffold04116.4	834	6	0	6	26	19	0	1	73	78	13
Hol_evm.model.scaffold04116.5	2079	1406	649	820	1615	657	0	924	1285	1797	3048
Hol_evm.model.scaffold04116.6	1353	644	130	173	352	127	0	242	123	346	759
Hol_evm.model.scaffold04116.7	363	16	4	0	0	55	0	4	5	0	13
Hol_evm.model.scaffold04116.8	1308	1874	278	1353	1299	250	0	480	62	3268	248
Hol_evm.model.scaffold04116.9	873	321	226	76	141	253	0	175	191	936	40
Hol_evm.model.scaffold04116.10	1986	1811	764	1080	1167	364	0	662	226	534	1978
Hol_evm.model.scaffold04116.11	1074	2251	844	1329	2423	218	2743	697	207	1455	2181
Hol_evm.model.scaffold04116.12	537	920	386	1039	2306	296	383	847	1380	3221	761
Hol_evm.model.scaffold04116.13	2682	689	273	292	670	385	11	646	595	766	1615
Hol_evm.model.scaffold04116.14	1644	3423	1355	1551	3109	690	4032	1822	2097	5468	3330
Hol_evm.model.scaffold04116.15	651	4908	2661	7916	9780	1472	3251	5999	5958	8370	3056
Hol_evm.model.scaffold04116.16	759	604	160	372	1253	164	0	456	711	646	503
Hol_evm.model.scaffold04117.1	234	2	1	0	0	6	0	0	8	5	17
Hol_evm.model.scaffold04117.2	213	33	12	7	21	3	0	110	23	21	814
Hol_evm.model.scaffold04120.1	745	3	3	1	1	3	0	18	16	6	122
Hol_evm.model.scaffold04120.2	606	6	2	6	2	6	105	2	10	7	14
Hol_evm.model.scaffold04123.1	1059	322	70	60	12	34	0	110	28	245	18
Hol_evm.model.scaffold04125.1	225	2	11	6	0	1	0	7	0	4	2
Hol_evm.model.scaffold04126.1	975	238	75	129	158	5	0	149	2	4	413
Hol_evm.model.scaffold04129.1	267	129	26	95	39	112	0	63	6	2	46
Hol_evm.model.scaffold04129.2	285	53	82	64	17	0	0	55	20	102	21
Hol_evm.model.scaffold04130.1	605	19	19	31	32	46	0	13	168	95	12
Hol_evm.model.scaffold04130.2	741	130	43	172	1854	18	0	28	175	118	22
Hol_evm.model.scaffold04131.1	2274	300	126	808	1840	157	0	262	715	879	366
Hol_evm.model.scaffold04131.2	417	183	54	47	66	1	0	29	9	4	111
Hol_evm.model.scaffold04133.1	207	32	3	5	37	120	0	31	52	123	22
Hol_evm.model.scaffold04133.2	4890	493	123	420	1333	10379	56	429	2558	6210	402
Hol_evm.model.scaffold04135.1	585	2	0	2	0	5	0	0	5	1	1
Hol_evm.model.scaffold04140.1	165	0	0	0	0	3	0	0	0	2	2
Hol_evm.model.scaffold04142.1	732	2	12	6	10	3	0	2	14	74	1
Hol_evm.model.scaffold04144.1	1527	2398	1671	2967	8666	304	639	1658	1469	1362	748
Hol_evm.model.scaffold04144.2	804	3246	1120	2512	3417	790	3	2582	3914	8118	1384
Hol_evm.model.scaffold04144.3	1671	796	309	714	763	348	0	442	1538	741	2013
Hol_evm.model.scaffold04144.4	2136	1050	573	580	1633	186	482	493	1174	228	2237
Hol_evm.model.scaffold04144.5	2964	668	199	603	340	98	166	494	516	617	2372
Hol_evm.model.scaffold04144.6	864	692	138	1277	1911	333	1	495	1676	3757	920
Hol_evm.model.scaffold04146.1	605	1722	617	4634	7882	716	0	806	2560	5578	137
Hol_evm.model.scaffold04146.2	549	137	26	8	95	56	0	50	19	30	49
Hol_evm.model.scaffold04146.3	1035	3945	1897	5012	5508	906	0	1993	1605	1289	761
Hol_evm.model.scaffold04146.4	834	5	1	0	4	5	0	1	6	20	0
Hol_evm.model.scaffold04148.1	4314	399	505	488	246	287	0	225	63	103	832
Hol_evm.model.scaffold04148.2	1854	2	5	0	11	602	0	13	18	12	60
Hol_evm.model.scaffold04148.3	420	2	6	4	2	866	0	16	2	3	2
Hol_evm.model.scaffold04148.4	207	10	10	3	0	16	0	0	4	1	24
Hol_evm.model.scaffold04149.1	2313	95	90	29	204	198	0	24	43	18	16
Hol_evm.model.scaffold04149.2	273	1	1	0	1	127	0	0	8	5	1
Hol_evm.model.scaffold04152.1	798	0	0	0	0	5	0	0	6	4	0
Hol_evm.model.scaffold04155.1	284	1	0	0	0	3	0	0	5	0	0
Hol_evm.model.scaffold04156.1	1011	758	226	326	270	134	455	525	46	958	778
Hol_evm.model.scaffold04156.2	249	49	57	40	61	1	0	27	51	0	46
Hol_evm.model.scaffold04156.3	711	170	136	124	229	12	0	71	173	57	224
Hol_evm.model.scaffold04157.1	218	0	0	0	4	3	0	0	13	16	0
Hol_evm.model.scaffold04160.1	1644	17	2	17	23	22	0	2	54	14	12
Hol_evm.model.scaffold04160.2	1230	101	86	79	4	13	0	17	26	192	89
Hol_evm.model.scaffold04160.3	1452	1105	625	1176	1217	455	2747	451	43	42	185
Hol_evm.model.scaffold04164.1	462	2944	2314	5274	7033	1667	299	4195	7915	5492	1042
Hol_evm.model.scaffold04165.1	758	102	73	62	17	35	1	93	71	83	316
Hol_evm.model.scaffold04165.2	3499	292	167	114	36	158	0	263	125	138	881
Hol_evm.model.scaffold04166.1	338	19	26	29	3	1	0	33	14	123	26
Hol_evm.model.scaffold04174.1	378	3	4	0	5	4	0	0	6	5	0
Hol_evm.model.scaffold04177.1	426	0	0	0	1	1	0	1	7	0	0
Hol_evm.model.scaffold04178.1	4231	399	428	348	558	83	0	525	55	414	2196
Hol_evm.model.scaffold04180.1	1317	0	0	0	2	3	0	1	8	3	0
Hol_evm.model.scaffold04186.1	553	54	2	22	0	4	0	33	4	6	914
Hol_evm.model.scaffold04190.1	1593	348	358	775	483	91	729	460	314	136	795
Hol_evm.model.scaffold04190.2	2760	2479	1502	1836	3541	1077	4938	1418	1879	1030	4610
Hol_evm.model.scaffold04190.3	2187	471	260	448	114	231	222	386	441	142	1900
Hol_evm.model.scaffold04190.4	342	39	17	24	17	74	0	23	53	20	99
Hol_evm.model.scaffold04190.5	762	171	51	53	227	80	0	211	307	424	416
Hol_evm.model.scaffold04190.6	399	34	31	48	6	26	0	88	417	33	132
Hol_evm.model.scaffold04191.1	321	5	0	0	0	0	0	1	3	4	1
Hol_evm.model.scaffold04192.1	1029	273	220	554	467	46	88	359	281	582	343
Hol_evm.model.scaffold04192.2	450	91	232	299	617	777	0	282	617	638	131
Hol_evm.model.scaffold04192.3	642	11	44	4	11	413	0	1	14	34	5
Hol_evm.model.scaffold04192.4	2454	93	36	0	15	741	0	118	38	16	277
Hol_evm.model.scaffold04192.5	315	403	710	536	952	319	148	595	834	1034	612
Hol_evm.model.scaffold04192.6	936	125	348	517	67	69	0	200	14	27	265
Hol_evm.model.scaffold04194.1	1065	361	326	495	354	75	0	398	976	567	373
Hol_evm.model.scaffold04194.2	2223	77	121	77	102	39	0	91	20	462	298
Hol_evm.model.scaffold04194.3	1167	1689	271	1840	4711	440	0	3049	1990	4650	1486
Hol_evm.model.scaffold04194.4	534	377	704	545	862	167	0	420	899	1209	308
Hol_evm.model.scaffold04194.5	1413	521	191	617	1308	46	24	303	275	907	2493
Hol_evm.model.scaffold04194.6	969	217	253	19	4	68	0	150	19	230	1974
Hol_evm.model.scaffold04197.1	561	7070	1572	2281	4019	544	33393	27019	2556	48998	174
Hol_evm.model.scaffold04198.1	351	38	23	16	6	54	0	47	122	0	3483
Hol_evm.model.scaffold04198.2	11924	4262	2271	2058	3120	370	0	2195	964	2338	414
Hol_evm.model.scaffold04207.1	154	51	83	71	78	21	1	152	158	68	164
Hol_evm.model.scaffold04208.1	687	1	0	2	2	2	0	1	2	2	1
Hol_evm.model.scaffold04211.1	396	1	0	0	0	6	0	0	8	4	0
Hol_evm.model.scaffold04211.2	273	2	2	0	1	3	0	0	11	0	1
Hol_evm.model.scaffold04211.3	945	23	19	5	31	4	0	25	74	82	6
Hol_evm.model.scaffold04211.4	228	0	0	0	2	25	0	0	2	0	0
Hol_evm.model.scaffold04211.5	396	16	9	0	8	3	0	5	3	9	1
Hol_evm.model.scaffold04211.6	1293	1	216	2	2	7	0	64	16	28	6
Hol_evm.model.scaffold04218.1	594	5	0	0	6	4	0	2	11	23	1
Hol_evm.model.scaffold04220.5	330	1	2	0	0	3	0	1	3	5	9
Hol_evm.model.scaffold04220.1	654	3	2	0	5	5	0	2	1	4	2
Hol_evm.model.scaffold04220.2	1485	60	61	136	117	28	0	34	110	136	73
Hol_evm.model.scaffold04220.3	348	597	430	750	1143	247	508	653	942	2068	915
Hol_evm.model.scaffold04220.4	876	471	497	1388	1116	33	5412	363	1040	858	999
Hol_evm.model.scaffold04221.1	210	0	1	18	1	0	0	1	3	0	1
Hol_evm.model.scaffold04221.2	2187	46	7	1	12	58	0	28	19	20	60
Hol_evm.model.scaffold04221.3	1341	1328	332	1505	1092	365	0	1214	258	1503	364
Hol_evm.model.scaffold04223.1	255	43	155	3	37	54	0	11	3	3	149
Hol_evm.model.scaffold04223.2	2679	1	185	0	11	14	0	18	36	6	0
Hol_evm.model.scaffold04224.1	2319	456	310	13	552	168	0	419	781	108	736
Hol_evm.model.scaffold04224.2	2256	22	99	95	273	70	0	53	111	119	417
Hol_evm.model.scaffold04224.3	948	423	127	250	673	286	1521	207	424	11	1358
Hol_evm.model.scaffold04224.4	597	234	137	267	504	55	0	184	342	443	418
Hol_evm.model.scaffold04224.5	228	286	78	127	73	25	0	186	188	392	65
Hol_evm.model.scaffold04224.6	606	810	385	523	366	419	0	539	864	1448	195
Hol_evm.model.scaffold04224.7	1539	456	382	1177	2388	165	0	777	721	1091	2125
Hol_evm.model.scaffold04225.1	1392	1251	1318	1229	1468	201	16	5112	1667	4413	186
Hol_evm.model.scaffold04225.2	951	568	189	572	1291	234	2287	612	693	532	1644
Hol_evm.model.scaffold04225.3	2664	1792	236	987	1416	413	0	490	1315	298	1993
Hol_evm.model.scaffold04225.4	981	1764	1199	2568	4261	778	0	2169	4891	3305	1508
Hol_evm.model.scaffold04225.5	969	226	66	253	352	142	0	204	613	1373	727
Hol_evm.model.scaffold04225.6	588	149	124	322	670	112	1108	415	319	608	178
Hol_evm.model.scaffold04225.7	3876	292	18	81	280	74	0	233	201	501	1520
Hol_evm.model.scaffold04225.8	381	327	350	413	990	209	54	638	851	1085	341
Hol_evm.model.scaffold04225.9	1551	394	282	259	1130	115	0	123	223	1661	767
Hol_evm.model.scaffold04225.10	255	12	32	8	0	0	0	0	5	4	1
Hol_evm.model.scaffold04225.11	153	1	0	1	0	2	0	0	0	0	2
Hol_evm.model.scaffold04228.1	396	8	0	6	0	28	0	5	5	3	2
Hol_evm.model.scaffold04229.9	222	0	0	0	0	1	0	1	0	0	0
Hol_evm.model.scaffold04229.1	1614	4356	1057	12228	10643	824	1503	1323	1568	2489	330
Hol_evm.model.scaffold04229.2	2031	784	277	772	1839	121	294	407	213	228	1430
Hol_evm.model.scaffold04229.3	2682	1008	895	950	927	551	1	1058	619	1138	1916
Hol_evm.model.scaffold04229.4	756	393	93	330	1230	285	0	230	513	1115	775
Hol_evm.model.scaffold04229.5	330	245	38	182	618	57	0	184	285	877	447
Hol_evm.model.scaffold04229.6	531	330	137	222	1	196	1131	2430	17	2084	18
Hol_evm.model.scaffold04229.7	2727	2564	1123	2327	1253	505	402	1572	494	1006	10201
Hol_evm.model.scaffold04229.8	628	352	275	321	1243	370	23	612	1593	1139	638
Hol_evm.model.scaffold04230.1	381	9	6	0	0	5	0	9	0	4	6
Hol_evm.model.scaffold04231.1	570	236	168	154	439	86	0	199	497	929	304
Hol_evm.model.scaffold04231.2	7449	321	97	321	374	104	0	62	232	288	663
Hol_evm.model.scaffold04231.3	1725	479	322	653	784	211	8	628	886	631	662
Hol_evm.model.scaffold04231.4	897	88	112	187	977	91	0	146	1304	984	591
Hol_evm.model.scaffold04232.1	1191	1	0	1	0	9	0	0	6	0	20
Hol_evm.model.scaffold04233.1	963	85	44	34	2	15	0	328	350	1045	137
Hol_evm.model.scaffold04233.2	738	1359	603	2896	3297	288	4061	1660	2633	3348	876
Hol_evm.model.scaffold04233.3	2928	310	120	206	92	105	2079	969	26	1164	3784
Hol_evm.model.scaffold04233.4	3804	7	10	2	202	58	0	13	256	42	5
Hol_evm.model.scaffold04233.5	2304	1047	385	1954	1815	454	378	624	927	1136	1153
Hol_evm.model.scaffold04234.1	939	0	0	0	4	1	0	0	15	10	0
Hol_evm.model.scaffold04234.2	648	1	0	0	1	2	0	0	10	4	0
Hol_evm.model.scaffold04234.3	1338	0	0	0	7	2	0	0	10	17	1
Hol_evm.model.scaffold04235.1	985	4	1	13	7	14	0	13	12	18	6
Hol_evm.model.scaffold04236.1	484	9	3	2	4	14	0	2	21	9	1
Hol_evm.model.scaffold04239.1	238	0	0	7	0	1	0	0	0	5	5
Hol_evm.model.scaffold04239.2	2175	66	3	0	6	50	0	23	218	11	19
Hol_evm.model.scaffold04239.3	447	1	0	0	4	3	0	0	6	4	1
Hol_evm.model.scaffold04239.4	663	1	0	7	2	8	0	8	3	4	10
Hol_evm.model.scaffold04241.1	2336	14	2	6	8	3	0	3	13	28	8
Hol_evm.model.scaffold04241.2	570	9	1	0	10	5	0	0	5	7	1
Hol_evm.model.scaffold04243.1	462	136	19	64	0	31	0	141	2	3	749
Hol_evm.model.scaffold04243.2	276	0	1	0	0	0	0	0	5	0	0
Hol_evm.model.scaffold04243.3	1716	18	4	0	0	4	0	1	11	1	1
Hol_evm.model.scaffold04243.4	1785	21	6	2	10	10	1	17	22	8	517
Hol_evm.model.scaffold04243.5	264	179	121	201	76	62	0	133	49	149	3190
Hol_evm.model.scaffold04243.6	483	54	100	93	188	30	0	74	118	140	600
Hol_evm.model.scaffold04243.7	1044	213	104	628	1059	123	0	258	890	924	2377
Hol_evm.model.scaffold04243.8	603	221	118	53	126	6	0	67	15	667	449
Hol_evm.model.scaffold04243.9	1497	339	172	375	618	276	0	197	402	294	1254
Hol_evm.model.scaffold04243.10	2652	773	303	469	570	304	4162	550	367	995	2856
Hol_evm.model.scaffold04243.11	1020	0	2	39	2	0	0	39	4	4	20
Hol_evm.model.scaffold04243.12	4953	829	631	1166	1602	358	0	1217	500	911	2212
Hol_evm.model.scaffold04243.13	873	1171	615	1588	1428	1362	0	767	773	645	788
Hol_evm.model.scaffold04243.14	297	75	26	6	3	6	0	21	4	5	23
Hol_evm.model.scaffold04246.1	627	2273	683	2255	3717	353	3811	4001	2232	2423	3381
Hol_evm.model.scaffold04246.2	1638	1138	531	943	3209	302	2847	1577	711	2411	4572
Hol_evm.model.scaffold04246.3	2829	7	3	0	6	18	0	7	28	8	142
Hol_evm.model.scaffold04249.1	1623	1347	1133	3431	1860	463	3879	789	1168	277	447
Hol_evm.model.scaffold04249.2	1563	3045	3512	5436	1863	1138	0	880	202	1229	150
